1;AGRO;Agrometal
2;ALUA;Aluar Aluminio Argentino
3;AUSO;Autopistas del Sol
4;BBAR;Banco BBVA Argentina
5;VALO;Banco de Valores
6;BHIP;Banco Hipotecario
7;BMA;Banco Macro
8;BPAT;Banco Patagonia
9;GAMI;B-Gaming
10;BOLT;Boldt
11;BYMA;Bolsas y Mercados Argentinos
12;CVH;Cablevisión Holding
13;CGPA2;Camuzzi Gas Pampeana
14;CAPX;Capex
15;CARC;Carboclor
16;CADO;Carlos Casado
17;CELU;Celulosa Argentina
18;CECO2;Central Costanera
19;CEPU2;Central Puerto
20;URBA;Central Urbana
21;COMO;Compañia Argentina de Comodoro Rivadavia
22;INTR;Compañia Introductora de Buenos Aires
23;CTIO;Consultatio
24;COUR;Continental Urbana
25;CRES;Cresud
26;DGCU2;Distribuidora de Gas Cuyana
27;DGCE;Distribuidora de Gas del Centro
28;DOME;Domec
29;IEB;Dycasa
30;EDSH;Edesa Holding
31;EDLH;Edesal Holding
32;EMAC;Electromac
33;EDN;Edenor
34;DSUR;Edesur
35;FERR;Ferrum
36;FIPL;Fiplasto
37;REGE;Garcia Reguera
38;GARO;Garovaglio y Zorraquin
39;GCDI;Gcdi
40;GRIM;Grimoldi
41;GCLA;Grupo Clarin
42;OEST;Grupo Concesionario del Oeste
43;GGAL;Grupo Financiero Galicia
44;SUPV;Grupo Supervielle
45;HAVA;Havanna Holding
46;HARG;Holcim (Argentina)
47;HSAT;Holdsat
48;HULI;Hulytego
49;PATA;Importadora y Exportadora de la Patagonia
50;ROSE;Instituto Rosenbusch
51;INAG;Insumos Agroquimicos
52;ECOG;Inversora de Gas del Centro
53;IEBA;Inversora Electrica de Buenos Aires
54;INVJ;Inversora Juramento
55;IRSA;Irsa Inversiones y Representaciones
56;RICH;Laboratorios Richmond
57;LEDE;Ledesma
58;LOMA;Loma Negra
59;LONG;Longvie
60;MTR;Matba Rofex
61;METR;Metrogas
62;MIRG;Mirgor
63;MOLA;Molinos Agro
64;SEMI;Molinos Juan Semino
65;MOLI;Molinos Rio de la Plata
66;MORI;Morixe Hermanos
67;GBAN;Naturgy Ban
68;NCON;Nuevo Continente
69;OVOP;Ovoprot International
70;PAMP;Pampa Energía
71;PREN1;Papel Prensa
72;PATR;Patricios
73;POLL;Polledo
74;RIGO;Rigolleau
75;SAMI;S.A. San Miguel
76;COME;Sociedad Comercial del Plata
77;TECO2;Telecom Argentina
78;TXAR;Ternium Argentina
79;TRAN;Transener
80;TGNO4;Transportadora de Gas del Norte
81;TGSU2;Transportadora de Gas del Sur
82;YPFD;YPF
